fid,color_2,name,population,white,blk_afam,amind_akna,asian,nathaw_pac,other_race,twoormore,hisp_lat,male,female,age0_4,age5_11,age12_14,age15_17,age18_24,age25_34,age35_44,age45_64,age65ovr,families,married,married18,malehh,malehh18,femalehh,femalehh18,housing,occupied,occ_own,occ_rent,vacant,vac_rent,vac_sale,vac_other,geodata_eg,pop_dens,pop_chng,hh_chng,avehhsize,created_us,created_da,last_edite,last_edi_1,shape_star,shape_stle,SHAPE__Length,SHAPE__Area
48,5,Coldstream Homestead Montebello,7266,118,6972,21,31,0,16,108,102,3337,3929,489,732,310,365,818,911,842,1917,882,1714,486,151,211,63,1017,432,3140,2428,1257,1171,712,208,60,444,0.51473833,14115.9099058,-1471,-327,2.96169996, ,, ,,14350023.8718,16776.7022175,6611.66103718158,2230811.68979617
49,3,Concerned Citizens Of Forest Park,1153,12,1126,1,2,0,1,11,12,523,630,58,97,48,65,138,122,118,341,166,288,98,33,30,13,160,59,546,432,238,194,114,44,20,50,0.07988739,14432.8142023,-177,-39,2.63193988, ,, ,,2227123.98059,6062.79487366,2390.44237125424,346223.984500308
50,4,Coppin Heights/Ash-Co-East,2660,13,2592,7,10,3,7,28,20,1210,1450,189,273,119,131,295,316,292,719,326,604,164,43,79,21,361,159,1269,891,457,434,378,78,28,272,0.1919624,13856.8801631,-444,-202,2.97979998, ,, ,,5351583.22021,11178.8324314,4404.61993891108,831569.145217574
51,4,Cross Country,5157,4039,822,2,175,0,50,69,111,2340,2817,483,614,242,251,461,674,481,1015,936,1143,921,457,58,26,164,85,2130,1989,1037,952,141,64,32,45,0.59240599,8705.17868903,492,19,2.51154994, ,, ,,16515265.0901,20723.1047216,8172.11748501251,2570528.28300522
52,1,Cross Keys,856,725,85,0,25,1,5,15,15,344,512,9,18,4,1,17,89,60,272,386,169,143,18,3,1,23,5,729,625,497,128,104,18,20,66,0.2782102,3076.81019608,-3,-15,1.36960005, ,, ,,7756024.39581,15970.1196754,6306.08790302485,1206742.60377297
53,1,Curtis Bay,4063,2512,1086,30,104,0,88,243,227,2028,2035,386,395,113,122,430,706,528,1051,332,943,456,170,144,67,343,189,1904,1528,618,910,376,232,48,96,0.51111181,7949.33687397,81,-35,2.65902996, ,, ,,14248922.6328,18848.7254652,7427.24144928146,2208936.04600132
54,5,Curtis Bay Industrial Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41878134,0,0,0,0, ,, ,,11674907.0447,26426.0022185,10404.7546951224,1809891.54486212
55,4,Cylburn,2357,43,2245,18,5,0,12,34,26,1065,1292,154,208,99,84,211,284,247,671,399,591,213,55,62,20,316,138,1047,950,523,427,97,35,9,53,0.22094155,10667.9796573,-229,7,2.48105001, ,, ,,6159472.37085,10917.6891408,4305.99120926019,958197.175184418
56,4,Darley Park,1218,7,1189,1,6,0,0,15,7,585,633,94,128,57,61,138,144,145,312,139,278,76,24,34,15,168,66,525,378,181,197,147,42,10,95,0.05196522,23438.749595,-334,-87,3.22221994, ,, ,,1448701.6568,5721.58775897,2253.87623241251,225163.2533343
57,4,Dickeyville,156,143,9,0,0,0,1,3,6,73,83,12,5,0,1,3,15,19,67,34,33,28,9,1,0,4,1,88,84,81,3,4,0,0,4,0.21312911,731.95066533,-143,-7,1.85713994, ,, ,,5941675.0459,12376.9271279,4882.77264352784,923495.943447119
58,2,Dolfield,2156,48,2065,12,10,0,4,17,17,931,1225,147,175,75,90,191,251,251,610,366,517,168,46,45,20,304,132,935,792,396,396,143,41,9,93,0.17005855,12677.9864541,-87,-55,2.61364006, ,, ,,4740941.33044,8664.08439952,3415.2355164074,737318.618469204
59,4,Dorchester,1700,17,1659,3,6,0,3,12,17,797,903,128,146,87,87,172,211,181,479,209,396,131,52,57,22,208,88,760,598,301,297,162,30,7,125,0.19057692,8920.28262498,-118,-71,2.82106995, ,, ,,5312958.39124,9388.65762023,3703.15501016767,826141.704090128
60,2,Downtown,4448,2161,1126,12,927,6,65,151,234,2259,2189,98,40,21,17,1017,1999,512,634,110,417,310,75,37,14,70,31,3228,2600,137,2463,628,349,133,146,0.40735121,10919.324132,2592,1550,1.48385, ,, ,,11356254.808,14822.4431569,5837.42721251919,1763829.54964131
61,2,Druid Heights,1497,19,1454,5,4,0,2,13,11,732,765,105,129,68,72,165,193,162,432,171,292,64,22,46,16,182,90,1074,591,173,418,483,55,22,406,0.09051564,16538.5774252,-402,-184,2.50931, ,, ,,2523421.25824,8006.28513642,3154.65296824345,392122.158385352
62,4,Druid Hill Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97471749,0,0,0,0, ,, ,,27173455.5836,22839.3689017,9003.26725400613,4224309.79017386
63,3,Dunbar-Broadway,889,47,734,1,91,0,1,15,8,343,546,75,102,24,28,154,166,74,197,69,170,25,11,9,3,136,80,385,367,1,366,18,14,0,4,0.17156584,5181.68389101,-289,-211,1.98909997, ,, ,,4782962.25366,9686.2090653,3816.0897574174,742982.847935844
64,3,Dundalk Marine Terminal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42808836,0,0,0,0, ,, ,,11934370.9047,15859.5375769,6253.56003808723,1851391.12767601
65,4,East Arlington,2432,18,2368,0,8,2,8,28,27,1036,1396,160,231,96,95,248,342,289,640,331,635,196,69,82,30,357,167,1067,1000,481,519,67,41,11,15,0.12934849,18801.9198561,-27,-37,2.43199992, ,, ,,3606014.60455,8629.66873564,3403.33964455162,560714.483189262
66,2,East Baltimore Midway,3034,40,2924,13,20,0,0,37,13,1407,1627,227,291,122,120,337,364,365,824,384,708,195,57,83,25,430,164,1556,1019,511,508,537,142,43,352,0.29982052,10119.3872211,-1105,-303,2.9774301, ,, ,,8358483.11853,12869.3724826,5069.50378099926,1299089.25768098
67,3,Easterwood,1596,31,1539,6,3,0,1,16,26,727,869,114,160,73,85,182,204,177,412,189,353,93,27,41,16,219,108,775,561,291,270,214,39,5,170,0.07724201,20662.3289462,-139,-93,2.84491991, ,, ,,2153375.28192,5925.67131761,2336.48632013201,334611.535327209
68,5,Eastwood,577,486,25,1,10,1,29,25,74,281,296,34,40,14,16,58,101,81,144,89,137,84,31,19,7,34,13,270,253,188,65,17,4,6,7,0.02804998,20570.4229888,36,0,2.28063011, ,, ,,781985.497559,4183.80177465,1650.81199651546,121453.234464213
69,3,Edmondson Village,3940,30,3832,6,2,0,4,66,32,1712,2228,272,298,185,179,464,475,404,1043,620,1044,334,89,100,33,610,274,1666,1493,943,550,173,64,19,90,0.18583065,21202.0994404,-524,-89,2.63697004, ,, ,,5180640.56824,9828.19310202,3875.51622496638,804798.908379802
70,2,Ednor Gardens-Lakeside,5185,802,4153,10,93,0,25,102,70,2284,2901,290,363,159,167,375,699,683,1464,985,1244,646,188,95,39,503,181,2410,2261,1604,657,149,72,29,48,0.51069282,10152.8741069,117,333,2.27775001, ,, ,,14237242.0117,18899.6803598,7454.12480957049,2213913.3851645
71,5,Ellwood Park/Monument,3580,415,2647,44,72,7,276,119,501,1738,1842,323,416,163,180,486,601,435,795,181,789,217,77,94,46,478,261,1363,1047,365,682,316,175,26,115,0.13944485,25673.2306233,74,-31,3.41929006, ,, ,,3887483.97998,8537.08038854,3363.06825895808,603899.236456825
72,1,Evergreen,382,348,9,2,9,0,0,14,9,182,200,26,41,3,8,12,53,77,126,36,98,76,38,6,1,16,9,216,185,128,57,31,10,7,14,0.0575549,6637.14009299,-25,-22,2.04324007, ,, ,,1604532.38177,5208.91302586,2054.55923585193,249601.616890476
73,4,Evergreen Lawn,1132,10,1082,2,3,0,8,27,19,523,609,72,88,39,59,114,115,130,345,170,273,102,35,36,8,135,51,441,399,283,116,42,8,3,31,0.0534031,21197.2687424,-91,-47,2.83709001, ,, ,,1488787.2088,5620.07789752,2214.00259685287,231271.798537904
74,3,Fairfield Area,159,105,43,0,1,0,7,3,19,72,87,13,16,4,1,11,30,24,46,14,32,13,5,2,1,17,13,100,69,9,60,31,17,5,9,2.4042995,66.13152802,-60,0,2.30434989, ,, ,,67027755.1611,82665.3372976,32559.6603654079,10395167.5960484
75,1,Fairmont,347,10,322,7,1,0,3,4,2,166,181,21,22,4,11,32,29,42,101,85,82,40,5,11,3,31,7,164,143,104,39,21,8,5,8,0.16566149,2094.63279645,-37,-20,2.42656993, ,, ,,4618358.94159,10861.3220666,4279.96713563762,717666.536661635
76,1,Fallstaff,4219,1575,2031,23,102,25,382,81,589,1958,2261,343,331,140,176,431,607,494,1109,588,965,525,225,123,39,317,160,1935,1789,649,1140,146,108,13,25,0.2955371,14275.7031028,312,96,2.3543899, ,, ,,8239068.73517,13936.1099191,5501.80049844273,1282301.73661058
77,4,Federal Hill,2600,2315,132,5,86,0,13,49,79,1349,1251,123,71,9,19,358,933,345,537,205,424,366,102,23,9,35,16,1554,1395,670,725,159,83,27,49,0.14891493,17459.6324902,198,101,1.83369004, ,, ,,4151493.45752,10057.5163426,3961.88443223413,644569.583287341
78,3,Fells Point,3976,3074,349,19,208,6,195,125,444,2141,1835,119,66,16,29,377,1467,621,937,344,620,475,92,62,17,83,29,2807,2246,681,1565,561,293,55,213,0.28805982,13802.6883426,924,542,1.67808997, ,, ,,8030614.92358,22094.1653683,8706.83983411742,1247024.1103719
79,5,Forest Park,1560,25,1504,8,1,0,5,17,35,681,879,96,102,45,64,177,169,180,500,227,367,137,38,46,21,184,59,933,667,275,392,266,54,6,206,0.15508019,10059.3117376,-147,-40,2.33882999, ,, ,,4323370.34277,9202.00078833,3627.25269427951,672114.431665717
80,4,Forest Park Golf Course,392,11,376,0,0,0,2,3,9,185,207,34,36,9,14,45,35,45,103,71,93,34,9,18,7,41,15,136,126,105,21,10,1,1,8,0.10300755,3805.54626503,61,0,3.11110997, ,, ,,2871674.21552,7965.56585941,3139.34730776617,446431.082243344
81,4,Frankford,17694,2092,14595,67,400,4,115,421,362,8056,9638,1383,1708,654,748,2180,2672,2269,4617,1463,4175,1761,679,432,211,1982,1191,7894,7137,2970,4167,757,430,106,221,2.12482169,8327.28694902,902,31,2.44359993, ,, ,,59236392.2885,38658.586818,15242.2176927262,9210351.61493126
82,1,Franklin Square,2967,98,2728,22,11,0,62,46,108,1432,1535,249,275,103,118,324,369,351,859,319,649,144,39,84,38,421,207,1861,1172,296,876,689,168,23,498,0.17211564,17238.4092852,-585,-220,2.5, ,, ,,4798289.71259,9307.5247021,3667.77387417115,745246.38520442
83,1,Franklintown,1282,88,1170,4,1,0,9,10,28,559,723,120,155,59,60,164,212,159,287,66,316,102,44,32,17,182,117,546,500,107,393,46,28,2,16,0.59535569,2153.3345669,-132,-60,2.54999995, ,, ,,16597497.8454,22917.3236487,9030.95395753824,2578957.83800678
84,1,Franklintown Road,1940,5,1885,5,8,0,6,31,31,909,1031,136,157,71,98,210,218,183,553,314,425,117,33,55,19,253,110,962,793,338,455,169,59,33,77,0.12289767,15785.4894218,-425,-173,2.44640994, ,, ,,3426176.92828,8198.19106805,3233.30889538541,532240.862181434
85,1,Garwyn Oaks,1132,19,1100,0,1,0,0,12,6,520,612,71,107,37,46,126,120,142,330,153,247,107,27,22,11,118,49,673,404,196,208,269,18,13,238,0.13135706,8617.7321378,-442,-169,2.76237988, ,, ,,3662010.15057,8082.23702759,3188.92258959081,569203.798313492
86,5,Gay Street,1998,21,1943,0,13,0,3,18,16,775,1223,227,288,104,90,229,262,171,359,268,441,70,33,25,9,346,240,927,800,83,717,127,50,5,72,0.10959025,18231.5479262,-80,-19,2.47749996, ,, ,,3055188.76477,7137.34782527,2814.42543494685,474661.032873622
87,2,Glen,7876,2949,4624,16,72,6,92,117,154,3605,4271,511,693,293,322,703,797,767,2103,1687,1822,1055,404,160,63,607,227,3630,3381,1641,1740,249,107,42,100,0.74724458,10540.0563738,-235,-51,2.36824011, ,, ,,20831899.9731,21572.490575,8507.22120488544,3241503.87269752
88,2,Glen Oaks,2887,212,2558,11,37,4,11,54,55,1282,1605,202,284,117,125,405,397,357,785,215,735,287,124,82,36,366,195,1300,1171,538,633,129,82,15,32,0.26925678,10722.1069082,-45,-30,2.46540999, ,, ,,7506418.2381,13893.7429567,5487.19024907171,1168299.42442069
89,3,Glenham-Belhar,6175,2314,3573,31,59,1,43,154,124,2805,3370,390,543,242,304,554,855,860,1725,702,1476,775,326,138,67,563,305,2674,2422,1715,707,252,84,56,112,0.74944236,8239.45946394,86,-38,2.4913299, ,, ,,20893170.4968,19395.6743412,7645.95727419031,3250462.43052966
90,2,Graceland Park,2011,1444,224,39,71,0,162,71,410,997,1014,137,157,45,55,205,312,215,562,323,465,296,93,52,14,117,51,830,741,551,190,89,31,24,34,0.31253865,6434.40411715,292,35,2.69095993, ,, ,,8713042.74908,17767.5656333,7007.62292825649,1352916.19092802
91,5,Greektown,3678,2401,251,41,56,11,777,141,1293,1925,1753,289,281,124,86,346,844,454,777,477,827,508,199,115,41,204,99,1510,1309,664,645,201,98,38,65,0.22444475,16387.1060852,384,-5,2.80977988, ,, ,,6257135.61041,13857.8461456,5461.94546169015,971690.947119659
92,3,Greenmount Cemetery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1068963,0,0,0,0, ,, ,,2980085.94446,6951.22402897,2741.12715418063,463091.679010037
93,5,Greenmount West,1339,331,960,5,20,0,2,21,14,697,642,83,86,35,30,215,289,164,342,95,241,72,23,37,10,132,68,854,570,135,435,284,102,16,166,0.10012821,13372.8536277,144,90,2.31052994, ,, ,,2791403.33923,7365.44437598,2904.05657095852,433770.237662263
