X,Y,fid,gis_id,srcid_t,srcid_i,edit_date,ftype,subtype,loc_type,loc_meth,street_tag,prcl_pin,address,city,state,zipcode,x_coord,y_coord,name,alias1,nghbrhd,cncldst,stfid_blk,plcdst_no,plcdst,usng,cntct_nme,cntct_phn,cntct_dpt,globalid,url
-8525792.34629723,4754103.37174065,11,27_11, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000000859,7224001,1600  HAZEL ST,Baltimore,MD,21226,1428909.15492533,568174.88493536,438 CLUB, ,Curtis Bay,10,245102505002005,9,SOUTHERN,18S UJ 62885 43063, , , ,{453060BF-56B5-4E2E-9042-9D11B6FE9D7B}, 
-8536698.34884522,4771215.78758701,12,27_12, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000042607,4510007,5302  REISTERSTOWN RD,Baltimore,MD,21215,1401006.40674013,611401.45450127,5-MILE HOUSE, ,Woodmere,5,245102801014008,6,NORTHWESTERN,18S UJ 54674 56422, , , ,{27E5ABD1-E8BA-4421-A2F3-8D50F927F7EF}, 
-8525151.39974354,4762375.46943532,13,27_13, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000026704,1853014,743 S MONTFORD ST,Baltimore,MD,21224,1430444.4562044,589140.0847114,"743 S. MONTFORD,INC.", ,Canton,1,24510103002021,2,SOUTHEASTERN,18S UJ 63493 49441, , , ,{6713EEB1-399F-405D-9824-F371C29DF85F}, 
-8521292.9270725,4762040.10859936,14,27_14, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000009476,6820043,5625  O'DONNELL ST,Baltimore,MD,21224,1440259.82130463,588337.46714401,A & W RESTAURANT, ,Pulaski Industrial Area,1,245102605014024,2,SOUTHEASTERN,18S UJ 66479 49130, , , ,{54F34328-9F74-4DA6-A49D-F93D530D4BEA}, 
-8528412.26988277,4763248.06537158,15,27_15, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000021372,0650004,219 E BALTIMORE ST,Baltimore,MD,21202,1422143.44914152,591313.30413118,A TASTE OF CHINA, ,Downtown,11,24510401001041,1,CENTRAL,18S UJ 60979 50159, , , ,{22E6C2B0-D196-497A-B020-3FE11A75D32B}, 
-8529045.60141254,4765222.03180823,16,27_16, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000015570,0482003,58 W BIDDLE STREET,Baltimore,MD,21201,1420512.24362151,596304.75308044,ABACROMBIE FINE FOODS, ,Mid-Town Belvedere,11,245101102001020,1,CENTRAL,18S UJ 60515 51691, , , ,{FFB81A57-5FD3-4EA3-8E2F-35BD543F3D90}, 
-8525902.64069157,4764530.65576634,17,27_17, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000029230,1620001,2003 E MONUMENT ST,Baltimore,MD,21205,1428509.68844223,594588.93724945,ABC SUSHI, ,Middle East,13,24510604001001,3,EASTERN,18S UJ 62941 51114, , , ,{430A670C-FCB5-4715-881E-DFEBA9047866}, 
-8522221.01712468,4762871.48016486,18,27_18, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000009175,6553001,4718  EASTERN AVE,Baltimore,MD,21224,1437889.60638361,590431.34972994,ACROPOLIS RESTAURANT, ,Greektown,2,245102607002001,2,SOUTHEASTERN,18S UJ 65770 49784, , , ,{497F9D31-F5B6-4B17-A6CB-D764D942F20B}, 
-8526344.75207371,4762159.28550098,19,27_19, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000026897,1820001,818 S BROADWAY,Baltimore,MD,21231,1427412.48508191,588578.89408578,ADMIRAL FELL INN, ,Fells Point,1,24510203002028,2,SOUTHEASTERN,18S UJ 62566 49290, , , ,{EAE5A1BF-E507-434D-A739-FA635B5B02B9}, 
-8532950.12586694,4759901.58250369,20,27_20, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000029496,7779006A,2522  WASHINGTON BLVD,Baltimore,MD,21230,1410637.96737079,582791.07638055,AG & HARP'S, ,Morrell Park,10,245102503033010,8,SOUTHWESTERN,18S UJ 57416 47640, , , ,{58EC844D-E3C1-454D-8DF8-54882A2BC3A5}, 
-8519433.66527129,4758618.92969345,21,27_21, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000000411,6991012,6500  RIVERVIEW AVE,Baltimore,MD,21222,1445032.10860094,579695.35234813,"AIRPORT BAR & GRILL, INC.", ,Saint Helena,1,245102606054017,2,SOUTHEASTERN,18S UJ 67874 46465, , , ,{1FD59158-02D6-4E6A-B3B2-397565C9081E}, 
-8528827.84382648,4764617.36168973,22,27_22, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000022910,0517024,823 N CHARLES ST,Baltimore,MD,21201,1421072.23920693,594776.10577252,AKBAR RESTAURANT, ,Mount Vernon,11,245101102002001,1,CENTRAL,18S UJ 60676 51221, , , ,{A1511531-C131-4AC1-A614-11A0A219C1C0}, 
-8533172.90014207,4762449.45764566,23,27_23, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000034433,2145C001,2407  FREDERICK AVE,Baltimore,MD,21223,1410046.96387176,589242.28274473,"AKDEY SUBWAY, INC.", ,Millhill,9,245102005002003,8,SOUTHWESTERN,18S UJ 57279 49609, , , ,{C766B8FD-6B36-4EA2-A8C5-5A8A9303353A}, 
-8527271.33752541,4762757.08572559,24,27_24, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000021681,1423025,306 S HIGH ST,Baltimore,MD,21202,1425049.74499062,590082.44723217,ALDO'S   RESTAURANT, ,Little Italy,1,24510302003011,2,SOUTHEASTERN,18S UJ 61856 49764, , , ,{CF6C6F0B-4BA5-4687-91D3-3D7B700645AF}, 
-8525873.52245071,4762540.15395211,25,27_25, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000026449,1830012,1939  FLEET ST,Baltimore,MD,21231,1428606.39447902,589548.82308661,ALE MARY'S, ,Fells Point,1,24510203001002,2,SOUTHEASTERN,18S UJ 62936 49578, , , ,{5F497496-0903-4BE4-86B1-00015ABDF420}, 
-8526348.84967521,4762349.12437128,26,27_26, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000026799,1812002,710 S BROADWAY,Baltimore,MD,21231,1427399.92487676,589059.62688265,ALEXANDER'S TAVERN, ,Fells Point,1,24510203001024,2,SOUTHEASTERN,18S UJ 62565 49437, , , ,{D737F80E-7B54-4D78-A502-6240762AD11D}, 
-8533074.78941348,4767425.12191803,27,27_27, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000036920,3262F004,2401  LIBERTY HEIGHTS AVE,Baltimore,MD,21215,1410248.67471836,601841.1707654,ALFEO'S, ,Mondawmin,7,245101505002001,7,WESTERN,18S UJ 57426 53447, , , ,{788F6684-7A21-4E84-8319-1B0B25E7222D}, 
-8532656.70487256,4762679.11275239,28,27_28, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000033970,0222089,2105  FREDERICK AVE,Baltimore,MD,21223,1411357.29022662,589828.88012014,AL-HO CLUB, ,Booth-Boyd,9,245102004002000,8,SOUTHWESTERN,18S UJ 57682 49779, , , ,{809585AF-668F-451E-98E9-56A676DF3DF6}, 
-8528368.6474876,4763143.37345047,29,27_96, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000024150,0662010,206 E REDWOOD ST,Baltimore,MD,21212,1422255.48886386,591048.66074603,BAY ATLANTIC CLUB, ,Downtown,11,24510401001055,1,CENTRAL,18S UJ 61011 50077, , , ,{81105212-0BFB-4A8C-8FA9-670888C91817}, 
-8524437.70943266,4761626.80342269,30,27_97, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000027098,1902E005,2809  BOSTON ST,Baltimore,MD,21224,1432267.99860583,587252.35273809,BAY CAFE, ,Canton,1,24510101003015,2,SOUTHEASTERN,18S UJ 64036 48853, , , ,{19BDB795-3C42-403B-BB44-5FB9EFE459FF}, 
-8528451.97371025,4761470.30686641,31,27_98, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000023853,0936001,1038  LIGHT ST,Baltimore,MD,21230,1422061.6167322,586810.6274604,BEACH  BUMS CAF, ,Federal Hill,10,245102403001002,9,SOUTHERN,18S UJ 60924 48788, , , ,{03C873AC-05AD-4041-AAF1-EF5CB7875176}, 
-8523163.54188422,4763349.64954358,32,27_99, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000028392,6285016,3820 E PRATT ST,Baltimore,MD,21224,1435487.34007628,591630.70825743,BECKER'S TAVERN, ,Baltimore Highlands,2,245102608001012,2,SOUTHEASTERN,18S UJ 65047 50166, , , ,{48253C50-451C-40E5-A356-033EF91A43BF}, 
-8529403.4587475,4763198.62320827,33,27_100, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000021400,0631001,401 W BALTIMORE ST,Baltimore,MD,21201,1419623.82517815,591177.51264667,BEDROCK, ,Downtown,11,24510401001065,1,CENTRAL,18S UJ 60210 50134, , , ,{55C45650-7FE3-4725-BE3C-E872447F44FE}, 
-8529403.4587475,4763198.62320827,34,27_101, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000021400,0631001,401 W BALTIMORE ST,Baltimore,MD,21201,1419623.82517815,591177.51264667,BEDROCK (KITCHEN AREA), ,Downtown,11,24510401001065,1,CENTRAL,18S UJ 60210 50134, , , ,{1ED82A8B-FFAE-44E8-8C0C-8FB5D256BBF2}, 
-8520609.02407689,4771196.97959398,35,27_102, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000006482,5748006,5860  BELAIR RD,Baltimore,MD,21206,1441882.56090297,611526.61201858,BELAIR PUB, ,Glenham-Belford,2,245102704011014,4,NORTHEASTERN,18S UJ 67129 56185, , , ,{5E5B134D-C0DF-406A-BA5D-9D4B857896D3}, 
-8527707.00670417,4760424.72753347,36,27_103, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000022605,1943078,1747  BELT ST,Baltimore,MD,21230,1423967.49864718,584170.4047025,BELT STREET PUB, ,Riverside,10,245102404005001,9,SOUTHERN,18S UJ 61487 47970, , , ,{D8CA9A4E-12D5-4732-99E5-48EAB14939BC}, 
-8532210.18396975,4773577.74655905,37,27_104, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000041299,4820E018,1190 W NORTHERN PKWY,Baltimore,MD,21210,1412385.72735459,617419.06986421,BELVEDERE TOWERS CAF, ,Roland Park,6,245102713003001,5,NORTHERN,18S UJ 58182 58179, , , ,{71AEE086-ECEC-41D6-A87E-D9805383920E}, 
-8521364.05030817,4770512.36795358,38,27_105, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000006655,6003012,5523  BELAIR RD,Baltimore,MD,21206,1439972.93732679,609784.68734225,"BERGER'S TAVERN, INCORPORATED", ,Waltherson,2,245102704013007,4,NORTHEASTERN,18S UJ 66535 55667, , , ,{5A17306D-931D-41EB-81DE-68C621ED1D99}, 
-8526223.95298466,4766498.46004157,39,27_106, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000017497,4156023,1801 E NORTH AVE,Baltimore,MD,21213,1427670.59471914,599567.29076406,BERMUDA BAR, ,Broadway East,12,24510806003001,3,EASTERN,18S UJ 62718 52637, , , ,{C4D8D749-5E9D-4454-ADB9-0F14E07336EE}, 
-8526347.24824884,4762317.08481186,40,27_107, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000026799,1812002,734 S BROADWAY,Baltimore,MD,21231,1427404.35825963,588978.50355018,BERTHA'S RESTAURANT, ,Fells Point,1,24510203001024,2,SOUTHEASTERN,18S UJ 62566 49412, , , ,{5BC32E5E-26D1-4DC0-ADD2-C872C81EA1B2}, 
-8528831.63760968,4768464.29215401,41,27_108, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000012769,3861001,3105  ST. PAUL ST,Baltimore,MD,21218,1421021.60840024,604514.61966915,BERT'S EATS & DRINKS (3103-05), ,Charles Village,14,245101202003007,5,NORTHERN,18S UJ 60726 54189, , , ,{5A1CE595-0473-46EE-A90C-0EBDC1171719}, 
-8521292.9270725,4762040.10859936,42,27_109, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000009476,6820043,5625  O'DONNELL ST,Baltimore,MD,21224,1440259.82130463,588337.46714401,BEST WESTERN TRAVEL PLAZA, ,Pulaski Industrial Area,1,245102605014024,2,SOUTHEASTERN,18S UJ 66479 49130, , , ,{CC5ED6DA-9702-4282-9111-570C5F342E3F}, 
-8528294.38693663,4763255.4206753,43,27_110, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000021364,1348013,300 E BALTIMORE ST,Baltimore,MD,21202,1422443.09245543,591333.20563636,BIG APPLE TREE CAF, ,Downtown,11,24510401001054,1,CENTRAL,18S UJ 61070 50163, , , ,{AFF161DA-01C9-4623-AACC-BD0EDAACA07B}, 
-8522591.09906959,4772549.43295029,44,27_111, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000006796,5765005,5713  HARFORD RD,Baltimore,MD,21214,1436830.48074603,614923.80525246,BIG BAD WOLF'S HOUSE OF BARBEQUE, ,Harford-Echodale/Perring Parkway,3,245102706002000,4,NORTHEASTERN,18S UJ 65613 57254, , , ,{5D0D6401-A3E2-40BD-BAD1-75EAC96F073C}, 
-8528536.26045696,4762594.37526779,45,27_112, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000021755,0890003,301  LIGHT ST,Baltimore,MD,21202,1421835.21249774,589656.5592195,BIG KAHUNA CANTINA, ,Inner Harbor,11,245102201002012,1,CENTRAL,18S UJ 60874 49656, , , ,{6B81C276-9568-4C88-9C1E-9A594A73A952}, 
-8522167.44210394,4763160.29727855,46,27_113, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000009022,6331048,300 S OLDHAM ST,Baltimore,MD,21224,1438022.27025373,591163.40444955,BIG TEE'S BAR & GRILL, ,Greektown,2,245102607001021,2,SOUTHEASTERN,18S UJ 65816 50006, , , ,{0DB273CE-9189-4EF7-B526-7E6D421920C7}, 
-8530823.43404283,4762833.54479496,47,27_114, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000021590,0235057,1000 W LOMBARD ST,Baltimore,MD,21223,1416017.16242845,590238.25524394,BILL'S 60'S & 70'S CLUB, ,Hollins Market,9,245101803002007,9,SOUTHERN,18S UJ 59105 49873, , , ,{4C461138-4E29-4C85-A29A-CE2F1725A8B1}, 
-8519378.26308756,4760791.04165807,48,27_115, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000010236,6925015,6701  HOLABIRD AVE,Baltimore,MD,21222,1445144.75843471,585198.43722166,BILL'S CAFE, ,Graceland Park,1,245102606051020,2,SOUTHEASTERN,18S UJ 67946 48141, , , ,{7B41D2C0-BB3E-4E8B-88AD-EF57262C69BB}, 
-8528373.65963315,4760404.92649125,49,27_116, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000024313,1024015,1741  LIGHT ST,Baltimore,MD,21230,1422272.24718213,584112.98060397,BILL'S LIGHTHOUSE INN, ,Riverside,10,245102404003009,9,SOUTHERN,18S UJ 60970 47964, , , ,{B0FE4D68-2C93-43F2-9D40-2CC1419125F0}, 
-8529162.48539284,4764516.95861936,50,27_117, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000020725,0509018,205 W MADISON ST,Baltimore,MD,21201,1420222.57323758,594518.318507,BILTMORE SUITES HOTEL, ,Mount Vernon,11,245101102003008,1,CENTRAL,18S UJ 60415 51148, , , ,{B97CC445-5D9A-4842-A170-303EE520EEC0}, 
-8525159.33831488,4762515.9111179,51,27_118, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000026580,1836041,641 S MONTFORD AVE,Baltimore,MD,21224,1430422.64468557,589495.66349677,BIRCHES RESTAURANT, ,Canton,1,24510103002017,2,SOUTHEASTERN,18S UJ 63489 49549, , , ,{24E33806-A08F-4CCD-9581-4E65F00442CC}, 
-8526245.711207,4762372.41610246,52,27_119, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000026630,1828023,1712  ALICEANNA ST,Baltimore,MD,21231,1427661.9186753,589119.78344731,BIRDS OF A FEATHER, ,Fells Point,1,24510203001023,2,SOUTHEASTERN,18S UJ 62645 49453, , , ,{5A5FACEA-677D-4DF7-BA67-77CE95464683}, 
-8538885.24953702,4771532.93528608,53,27_120, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000043301,4285011,4700  MT. HOPE DR,Baltimore,MD,21215,1395447.84867673,612185.45964644,"BLACKTIE SERVICE, LLP", ,Seton Business Park,5,245102801021007,6,NORTHWESTERN,18S UJ 52986 56698, , , ,{8C11399B-9A19-4D53-ADE3-C28DD7DFA646}, 
-8532694.74837742,4769718.55783399,54,27_121, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000039692,3357C020,3725  MALDEN AVE,Baltimore,MD,21211,1411192.32921949,607649.57625706,BLACKTIE SERVICES, ,Woodberry,7,245101308061007,5,NORTHERN,18S UJ 57752 55210, , , ,{99C487F8-F796-4A36-B438-7FD940E36AEF}, 
-8528332.99618017,4755390.56295517,55,27_122, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000030789,7027H008,3915 S HANOVER ST,Baltimore,MD,21225,1422429.75746247,571408.82687626,BLARNEY STONE INN, ,Brooklyn,10,245102504013031,9,SOUTHERN,18S UJ 60932 44092, , , ,{53132215-47A7-4B04-B5D4-13E82FA51DB3}, 
-8526349.25000126,4762357.13424417,56,27_123, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000026799,1812002,704 S BROADWAY,Baltimore,MD,21231,1427398.81653106,589079.90771499,BLARNEY STONE PUB, ,Fells Point,1,24510203001024,2,SOUTHEASTERN,18S UJ 62565 49443, , , ,{ED83CF07-6A18-44B2-8C39-5BBA2F8BB150}, 
-8524999.45016246,4762585.28407774,57,27_124, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000029377,1838044,2501  FLEET ST,Baltimore,MD,21224,1430828.39075407,589673.21114277,BLEACHERS, ,Canton,1,24510103002001,2,SOUTHEASTERN,18S UJ 63614 49601, , , ,{09B4648B-5DA5-465F-BD5F-688300A517E1}, 
-8521223.76225258,4770640.95073672,58,27_29, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000006644,6004007A,5621  BELAIR RD,Baltimore,MD,21206,1440327.75825673,610111.83210074,ALLEN RESTAURANT, ,Waltherson,2,245102704013010,4,NORTHEASTERN,18S UJ 66646 55764, , , ,{6E4467EC-3CF9-4493-A390-D5E45087D146}, 
-8526875.06348544,4760502.47883616,59,27_30, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000027185,2034005,1120 E FORT AVE,Baltimore,MD,21230,1426082.46987483,584376.57497942,ALOHA TOKYO, ,Locust Point Industrial Area,10,245102401001025,9,SOUTHERN,18S UJ 62132 48019, , , ,{1C31CB5A-BC06-4383-AB70-AFB04FE5C7F7}, 
-8530465.67124624,4771158.60976035,60,27_31, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000003123,4965006,415 W COLD SPRING LN,Baltimore,MD,21210,1416841.52369448,611316.01367057,ALONSO'S RESTAURANT & COCKTAIL LOUNGE, ,Evergreen,6,245102714001030,5,NORTHERN,18S UJ 59498 56289, , , ,{C75E8E8B-828D-42C4-9676-2360EF25A101}, 
-8529342.14419762,4769683.39388468,61,27_32, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000011733,3695ACO3695Ab,3811  CANTERBURY RD,Baltimore,MD,21218,1419711.45469052,607594.60502804,AMBASSADOR DINNING ROOM, ,Tuscany-Canterbury,14,245101201002010,5,NORTHERN,18S UJ 60347 55136, , , ,{4EC67352-3290-4629-AC9A-1F889A789D10}, 
-8530730.36888345,4758636.47842462,62,27_33, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000030449,7612D002,1810  CHERRY HILL RD,Baltimore,MD,21230,1416296.55013315,579608.27129711,AMBROSIA'S, ,Cherry Hill,10,245102502042000,9,SOUTHERN,18S UJ 59119 46632, , , ,{1AAD7BD4-D137-45FE-AD83-F8C9567A45A4}, 
-8530676.03792636,4762700.09048556,63,27_34, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000021677,0252034,901 W PRATT ST,Baltimore,MD,21223,1416393.30057047,589901.79612827,AMERICAN FOOD SERVICE, ,Hollins Market,9,245101803002026,9,SOUTHERN,18S UJ 59217 49767, , , ,{EDC17317-3B2B-4625-9091-DFC7F37E155E}, 
-8530303.63436992,4765419.93615843,64,27_35, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000015365,0364001,1502  MADISON AVE,Baltimore,MD,21217,1417312.21775252,596792.61647163,AMERICAN LEGION FEDERAL POST #19, ,Madison Park,11,245101402001008,1,CENTRAL,18S UJ 59544 51861, , , ,{81A1468D-0E24-4182-A271-82B0088CCAF3}, 
-8525819.2384055,4753547.43049393,65,27_36, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000001001,7185005,1527  CHERRY ST,Baltimore,MD,21226,1428847.0674357,566765.46530811,AMERICAN LEGION POST #187, ,Curtis Bay,10,245102505003017,9,SOUTHERN,18S UJ 62856 42634, , , ,{B8672EC0-1821-42CB-9437-6AF27A6CE846}, 
-8527800.08957003,4760842.81925386,66,27_37, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000023989,1931022,506 E FORT AVE,Baltimore,MD,21230,1423726.20109011,585228.39532312,AMERICAN LEIGON FORT MCHENRY POST #133, ,Riverside,10,245102402002013,9,SOUTHERN,18S UJ 61420 48294, , , ,{7684A6AB-5CBB-4BC1-9F68-DEE8DCD1A7DA}, 
-8523216.5894042,4762964.5022603,67,27_38, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000026151,6315A001,400 S EATON ST,Baltimore,MD,21224,1435357.10970737,590654.74203585,AMIGO'S BAR, ,Highlandtown,2,245102609001002,2,SOUTHEASTERN,18S UJ 65000 49869, , , ,{A4D77264-1306-4CA5-B08B-9EF23BCEC952}, 
-8521266.16493457,4774528.88028772,68,27_39, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000005666,5545070,7135  HARFORD RD,Baltimore,MD,21234,1440171.30394541,619947.8279789,ANGELINA'S, ,North Harford Road,3,245102707031009,4,NORTHEASTERN,18S UJ 66664 58762, , , ,{AD46D069-2D2F-4C3E-B6CF-28B4EC811E36}, 
-8530191.51569014,4769243.56838275,69,27_40, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000012110,3673007M,3600  KESWICK RD,Baltimore,MD,21211,1417557.78460704,606472.61218927,ANGELO'S RESTAURANT & CARRYOUT, ,Wyman Park,7,245101307002005,5,NORTHERN,18S UJ 59684 54809, , , ,{B22A9231-C4BE-4D57-B642-DBC244AE8BCF}, 
-8527817.15654479,4763260.08418044,70,27_41, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000031798,1375006,"10  MARKET PLACE, 2ND FLR",Baltimore,MD,21202,1423656.42068437,591350.21461118,ANGELS ROCK BAR, ,Downtown,11,24510401001048,1,CENTRAL,18S UJ 61440 50160, , , ,{BF4F803E-0F5C-4798-B28D-38C177882584}, 
-8521022.45641381,4762053.57974475,71,27_42, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,930000000009467,6825004,5805  O'Donnell ST,Baltimore,MD,21224,1440947.41474849,588374.99826607,ANGLE INN, ,Pulaski Industrial Area,1,245102605014024,2,SOUTHEASTERN,18S UJ 66688 49137, , , ,{009FB337-0192-4293-B986-D9A7804AA1BD}, 
